link,price,bedrooms,bathrooms,area,agency,coordinates,facilities,upload_date,stratum,parking_lots,floor,construction_age_min,construction_age_max,description,places,location,transportation
https://www.fincaraiz.com.co/apartamento-en-arriendo/192405910,2500000,1,1,42,Houm,"(4.6191593989004005, -74.06516790390015)","['Servicios Públicos', 'Parques cercanos', 'Cochera', 'Supermercados / C.Comerciales', 'Sensor de movimiento', 'Cocina Integral', 'Ascensor', 'Zona de BBQ', 'Trans. Público cercano', 'Amoblado', 'Acceso Pavimentado', 'Alcantarillado']",2025-05-18,3,1,-1,1,8,"Este apartamento moderno y minimalista presenta una distribución abierta que integra sala, cocina y comedor, separados de la habitación por paneles de vidrio. Con acabados de buena calidad y paredes en buen estado, cuenta con iluminación abundante gracias a amplias ventanas, ofreciendo vistas hacia un entorno urbano con áreas verdes. El espacio destaca por su decoración sencilla y funcional. El baño tiene revestimientos neutros de ladrillo, mientras que las áreas comunes y el gimnasio muestran un entorno bien mantenido, con mobiliario cómodo y diseño contemporáneo. El apartamento se encuentra en buen estado de conservación.","['San Martín Centro Comercial', 'Parque Nacional', 'Hotel Ibis Bogotá Museo', 'Parque Nacional Enrique Olaya Herrera', 'Transmilenio Calle 34', 'Parque Central Bavaria', 'La Monferrina', 'Plaza 39 Centro Comercial', 'Buffet King Bogotá San Martin', 'Éxito San Martín', 'Parque de la Independencia - Bicentenario', 'Restaurante Temático La Juguetería - Macarena', 'La Trocha, La Casa de la Paz', 'Wok Museo Nacional', 'Santa Fe Restaurante Bogotá', 'Longo´s Macarena', 'Museo Nacional', ""McDonald's"", 'Crepes & Waffles Centro Comercial Plaza 39', 'Crepes & Waffles Centro Internacional']","['Bogotá', 'Chapinero', 'Santa Fé', 'Cundinamarca']","['Transmilenio Calle 34', 'Museo Nacional']"
https://www.fincaraiz.com.co/apartamento-en-arriendo/192405841,3000000,3,2,61,RV Inmobiliaria,"(4.656523208947739, -74.12344694137573)","['Balcón', 'Vigilancia', 'Zona Residencial', 'Citófono', 'Cerca centro comercial', 'Ascensor', 'Trans. Público cercano', 'Salón Comunal', 'Gimnasio', 'Alarma', 'Calentador']",2025-05-18,4,1,-1,1,8,"El apartamento cuenta con un estilo moderno y acabados contemporáneos, con suelos de madera laminada y cocina funcional en tonos madera y mármol gris. La iluminación natural es abundante gracias a grandes ventanales en la sala. La distribución es abierta en las áreas comunes, mientras que las habitaciones son cerradas. Las vistas son urbanas con un entorno natural a lo lejos. El estado general es bueno, con paredes y techos en buen estado y decoración minimalista. Las áreas de baño son contemporáneas. Dispone de un pequeño balcón con vista despejada y un espacio de estacionamiento subterráneo en buenas condiciones.","['Terminal de Transporte S.A.', 'Hornitos La Felicidad', 'Terminal de Transportes de Bogota', 'Éxito La Felicidad', 'Industrias Vanyplas Ltda.', 'Éxito Esperanza', 'Parque Bosque de Hayuelos', 'Primitivos, Restaurante, Juegos, Bar', 'Parque Carlos Lleras', 'Kr 80ABIS - Cl 22D', 'C.C. Los Tres Elefantes', 'Dos Banderas', 'Primer sitio', 'OXXO Modelia Occidental', 'CL 22C - KR 68F Terminal de Transporte Salitre', 'MISHI MISHI', 'MISHIKGA', 'Juan González Cocina y Bar', 'Crepes & Waffles Centro Comercial Multiplaza', ""Domino's Pizza Hayuelos""]","['Bogotá', 'Fontibón', 'Cundinamarca']","['Terminal de Transportes de Bogota', 'Kr 80ABIS - Cl 22D', 'C.C. Los Tres Elefantes', 'CL 22C - KR 68F Terminal de Transporte Salitre']"
https://www.fincaraiz.com.co/apartamento-en-arriendo/192406103,1550000,2,1,45,Carlos,"(4.778759707688192, -74.04969692230225)","['Cocina tipo Americano', 'Circuito cerrado de TV', 'Supermercados / C.Comerciales', 'Portería / Recepción', 'Cocina Integral', 'Ascensor', 'Barra estilo americano', 'Trans. Público cercano', 'Salón Comunal', 'Planta Eléctrica', 'Piso en Baldosa / Mármol', 'Calentador']",2025-05-18,3,0,11,0,1,"El apartamento destaca por su estilo moderno y acabados lujosos. Los pisos de cerámica en tonos gris claro combinan con las paredes blancas, creando un contraste elegante. La iluminación natural es limitada por las ventanas pequeñas, mientras que la artificial es predominante, con lámparas de estilo industrial. La distribución es abierta en las áreas comunes y las habitaciones son independientes, equipadas con armarios empotrados. El baño, aunque reducido, es moderno y bien acabado. El estado general es bueno, con paredes y techos en impecable condición. No se observan vistas exteriores claras, sugiriendo un entorno cerrado.","['La Múnich', 'Asaderos El Llanerazo Del Norte', 'Auto Norte - CL 194', 'Parque de Los Novios Club Campestre El Rancho', 'Asadero El Chiguiro', 'Auto Norte - CL 197', 'Auto Norte - CL 194', 'Asadero El Guayatuno', 'jardines de paz', 'Auto Norte - CL 198', 'OSSO', 'Super Pavo El Original', 'Restaurante Universitario', 'Auto Norte - CL 198', 'Burger Store', 'Asadero Guayatuno Kr 45 Cl 196b', 'La Gran Parrilla', 'LA BARRA', 'Flores El Paraiso', 'Autopista Norte']","['Usaquén', 'Bogotá', 'Cundinamarca', 'Suba', 'La Caro']","['Auto Norte - CL 194', 'Auto Norte - CL 197', 'Auto Norte - CL 194', 'Auto Norte - CL 198', 'Auto Norte - CL 198']"
https://www.fincaraiz.com.co/apartamento-en-arriendo/192405978,1700000,3,2,60,Fanny ConsueloHernandez,"(4.630345222945569, -74.1381025314331)","['Garaje(s)', 'Zona Infantil', 'Portería / Recepción', 'Sobre vía principal', 'Vigilancia', 'Zona Residencial', 'Trans. Público cercano']",2025-05-18,4,1,4,31,100,"Este apartamento en un edificio de diseño moderno funcional cuenta con acabados sencillos y prácticos, como gabinetes de cocina de madera laminada y baldosas de cerámica. La iluminación natural es limitada, con ventanas de tamaño moderado que ofrecen vistas cerradas del entorno inmediato, sin panorámicas. La distribución es abierta en las áreas sociales, mientras que las habitaciones y baños son independientes, con un diseño tradicional. Se encuentra en un estado general bien cuidado, con paredes y techos en buen estado de conservación. El entorno exterior es urbano, en un vecindario denso y sin acceso inmediato a áreas verdes.","['Banderas', 'Estación Marsella', 'Metro Banderas', 'Techo Kennedy', 'Polideportivo Castilla', 'CATRINA TAQUERÍA', 'Los Tres Elefantes', 'Estación Banderas', 'Av Américas -Av. Boyacá', ""Domino's Pizza Castilla"", 'Plazuelas de San Esteban', ""Domino's Pizza Mundo Aventura"", 'La Poche Pescadería', 'La barca del sabor - Sede Kennedy Mandalay', 'Mi Leña (Leños & Palos) - Castilla', 'XL Gourmet - Castilla', 'Parrilla Gourmet Restaurant', 'Parque El Triangulo', 'Mandalay']","['Kennedy', 'Bogotá', 'Cundinamarca', 'Avenida de las Américas', 'Puente Peatonal Estación Marsella', 'Cl. 6a', 'Cl. 8b Bis', 'Cl. 7c Bis', 'Cl. 5c', 'Cl. 8', 'Cra. 78', 'Cra. 73b Bis', 'Dg. 5a', 'Cl. 8A']","['Banderas', 'Estación Banderas', 'Av Américas -Av. Boyacá', 'Mandalay']"
https://www.fincaraiz.com.co/apartamento-en-arriendo/192405624,4365403,1,2,60,Engel & Völkers,"(4.6769473501863805, -74.05478239059448)","['Chimenea', 'Ascensor', 'Zona de BBQ', 'Caldera', 'Alarma']",2025-05-18,6,2,1,9,15,"Este apartamento presenta un estilo arquitectónico moderno con acabados lujosos y materiales de calidad, como madera en los pisos. Ofrece abundante iluminación natural gracias a grandes ventanales que permiten vistas urbanas. La distribución es abierta, integrando la sala con la cocina a través de una barra. Las habitaciones también disfrutan de buena iluminación y vistas cerradas. El baño tiene acabados modernos en porcelana y vidrio, mientras que el estado general del apartamento es excelente, con paredes y techos en buen estado. La terraza está bien cuidada, con áreas de madera y plantas ornamentales que crean un entorno agradable.","['Parque de la 93', 'Carulla Country', 'Parque El Virrey', 'Casa Dann Carlton Hotel & Spa', 'Cumbia House de Gaira', 'Osaka Bogotá', 'Astoria Rooftop | The Best Rooftop in Colombia', 'Crepes & Waffles Parque 93', 'Cantina La 15 Bogotá - Bar y Restaurante Mexicano', 'Crepes & Waffles La Noventa', ""Piazza by Storia D'Amore Calle 93 Bogotá"", 'Estación Virrey', ""McDonald's"", 'Les Amis Bizcocheria', 'Godo Facts Food', 'Al Agua Patos', 'Cacio & Pepe', 'The Click Clack Hotel Bogotá', 'Vista Corona Bogotá', 'Le Grand Chico 92 Bogotá']","['Bogotá', 'Chapinero', 'Cundinamarca', 'Barrios Unidos']",['Estación Virrey']
https://www.fincaraiz.com.co/apartamento-en-arriendo/192405786,900000,3,1,47,RV Inmobiliaria,"(4.624420821888976, -74.20773267745972)","['Vigilancia', 'Sobre vía principal', 'Zona Residencial', 'Cerca centro comercial', 'Zona Comercial', 'Trans. Público cercano', 'Salón Comunal', 'Calentador']",2025-05-18,2,0,-1,1,8,"Este apartamento presenta un estilo moderno con acabados básicos, como azulejos en blanco y negro y mobiliario en madera laminada. La iluminación natural es limitada, con ventanas medianas que aportan luz en algunas áreas. Su distribución es compacta y eficiente, con un diseño compartimentado que conecta habitaciones y baños, además de una cocina independiente pero estrecha. Desde las ventanas se observan otras edificaciones, lo que indica un entorno urbano densamente construido. En general, el estado de paredes, pisos y techos es bueno, manteniendo un aspecto limpio y funcional sin lujos evidentes.","['Surtimax El Recreo Bosa', 'Parque San José de Maryland', 'CL 73 Sur - KR 93 D', 'Metropol - Bosa Recreo', 'El Patriarca Restaurante', 'Supermerk2 Maxi Ahorro', 'Parque Zonal Campo Verde (07-436)', 'MERCADOS DISTRI ALKOSTO', 'Los Cerezos del Recreo Etapa 2', 'SUPERMERCADOS AUTOSERVICIOS MERKCENTROS PARQUES DE BOGOTA', 'Comidas Rápidas El Parchesito Express', 'sabor natural', 'Recreo cundinamarca bosa', 'SUPERMERCADO AUTOSERVICIO MERCACENTRO', 'KR 95A - CL 74 Sur', 'metro', 'Parque Público El Portal del Sol', 'KR 95A - CL 74 Sur Metrovivienda', 'KR 95A - CL 76 Sur', 'El GRAN EXITO CHINO']","['Bosa', 'Bogotá', 'Cundinamarca', 'Colombia']","['CL 73 Sur - KR 93 D', 'KR 95A - CL 74 Sur', 'KR 95A - CL 74 Sur Metrovivienda', 'KR 95A - CL 76 Sur']"
https://www.fincaraiz.com.co/apartamento-en-arriendo/192405846,1300000,3,2,36,RV Inmobiliaria,"(4.6878970111815645, -74.15269374847412)","['Vigilancia', 'Zona Residencial', 'Ascensor', 'Trans. Público cercano', 'Salón Comunal', 'Gimnasio', 'Calentador']",2025-05-18,3,0,-1,1,8,"El apartamento destaca por su estilo arquitectónico moderno y acabados sencillos. Cuenta con materiales de cerámica en el suelo y mármol en las paredes del baño. La iluminación natural es abundante gracias a grandes ventanas que distribuyen la luz en el espacio. La distribución es compartimentada, con ambientes cerrados como el baño privado y dormitorios. Ofrece una vista urbana, con edificios y un cielo parcialmente visible. Su estado general es bien cuidado, con paredes y techos en buen estado y pisos de madera oscuros que complementan el diseño. No tiene decoraciones particulares.","['Metro Fontibón', 'Metro Fontibón', 'Parque Atahualpa', 'Piqueteadero Guadalajara', 'Asadero La Gran Llanera Internacional', 'Parque Público Zonal Atahualpa', 'Merqueo Fontibón', 'HIPERMERCADOS EDEN SAS', 'Parque la aldea', 'La Llanerita', 'D1 Mercado', 'Ara Villa Carmenza', 'Coarali', 'PARQUE BATAVIA', 'Supermercado Ahorremas | Aliado Red Contigo', 'Mercado Super Exito | Aliado Red Contigo', 'Alimentador La Estancia Parada 12 Transmilenio', 'Tienda D1 Atahualpa', 'Parque Barrio La Zelfita', 'Restaurante Yeng Sing']","['Fontibón', 'Bogotá']",['Alimentador La Estancia Parada 12 Transmilenio']
https://www.fincaraiz.com.co/apartamento-en-arriendo/192405629,8200000,1,2,145,Engel & Völkers,"(4.656480435253913, -74.04716491699219)","['Amoblado', 'Chimenea']",2025-05-18,6,2,4,31,100,"El apartamento cuenta con un estilo arquitectónico moderno y acabados lujosos, destacando encimeras de mármol y pisos de parquet en espiga. La iluminación natural es abundante, gracias a amplias ventanas que ofrecen vista urbana con espacios verdes. La distribución es abierta, integrando sala, comedor y cocina, mientras que las habitaciones, aunque separadas, mantienen el diseño contemporáneo. Los baños presentan acabados en cerámica y un diseño minimalista. El estado general es nuevo, con paredes, pisos y techos en excelente estado. Elementos decorativos aportan un toque personal y sofisticado al ambiente sin saturar el espacio.","['Quebrada La Vieja', 'Harry Sasson', 'Masa 81 | restaurante', 'Carulla Rosales', 'Al Agua Patos', 'Artesano Rosales by Crepes & Waffles', 'Hotel Rosales Plaza Bogotá', 'Ideal Restaurante', 'La Macheleria Steakhouse Zona G', 'Ramen Bar Tomodachi', 'Restaurante Verano', 'El Bandido Bistro', 'Osaki Artisan', 'Brot 81', 'Artesano 81 by Crepes & Waffles', 'LA BIFERIA CALLE 79', 'Bagatelle', 'Ugly American Bar & Grill', 'The Market Bogotá', 'Restaurante Armadillo']","['Bogotá', 'Chapinero', 'Cundinamarca']",[]
https://www.fincaraiz.com.co/apartamento-en-arriendo/192405856,2878303,2,2,73,Gestiones Inmobiliarias F. T. SAS,"(4.6471984822145345, -74.0786862373352)","['Closet', 'Zona Residencial', 'Chimenea', 'Cerca centro comercial', 'Cocina Integral', 'Trans. Público cercano', 'Calentador', 'Área Urbana']",2025-05-18,5,1,3,16,30,"El apartamento cuenta con un diseño moderno básico y acabados sencillos. La cocina presenta mobiliario de madera con iluminación moderada, gracias a ventanas de tamaño medio que ofrecen una vista urbana. La distribución es abierta en la sala de estar, integrando áreas de descanso y entretenimiento, mientras que la cocina, baños y dormitorios son compartimentados. Los baños tienen acabados en cerámica blanca y decoración mínima. El estado general es bien cuidado, aunque muestra signos de uso diario. Las paredes y techos están en buen estado, y los suelos son de madera laminada y cerámica. El entorno es denso y urbano.","['Parque de los Novios', 'Carulla Galerias', 'Carulla Pablo VI', 'Super Bowling Bogotá', 'Hornitos Belalcázar', ""McDonald's"", 'Chronos Fantasy Restaurante', 'Meraki Sushi & Wok Cocina Oriental', 'Movistar Arena', 'CHO´s Korean Fast Food (Galerias)', 'Crepes & Waffles Centro Comercial Galerias', 'Hotel El Campin', ""Dunkin' Calle 63"", 'Frisby Galerias', 'Carnícolas', 'Desayunadero El Cañón del Chicamocha', 'Tienda Ara Galerias', 'El Corral Galerias', 'Parque Movistar Arena', 'KFC Galerías']","['Bogotá', 'Teusaquillo']",['Movistar Arena']
https://www.fincaraiz.com.co/apartamento-en-arriendo/192405787,850000,2,1,44,RV Inmobiliaria,"(4.635478237899357, -74.1876482963562)","['Canchas Deportivas', 'Vista panorámica', 'Vigilancia', 'Sobre vía principal', 'Zona Residencial', 'Cerca centro comercial', 'Zona Comercial', 'Trans. Público cercano', 'Salón Comunal']",2025-05-18,2,0,-1,1,8,"Este apartamento se ubica en un entorno urbano, con una distribución abierta que conecta la cocina con el área de la sala, creando amplitud. Los acabados son sencillos y en estado general, bien cuidado. La cocina cuenta con materiales de cerámica y madera laminada, mientras que el baño presenta acabados básicos. La iluminación natural es moderada, debido al tamaño de las ventanas que ofrecen vista cerrada hacia otros edificios. Las paredes y techos están en buen estado, con colores neutros y un diseño decorativo mínimo.","['Metro Bosa Atalayas', 'American Burger', 'Tiendas D1 Bosa Brasil', 'Metropol - Bosa Porvenir', 'Parque San Martín', 'Parque Metropolitano El Porvenir Manzana I', 'Santiago de las Atalayas', 'SurtiMayorista Trebolis', 'Tiendas Ara Bosa Porvenir', 'Supermercados Líder', 'Parque Holanda', 'Tiendas Ara Bosa Brasilia', 'Parque Público Miami', 'Asadero Piqueteadero El Aguila', 'Tiendas Ara Bosa Danubio', 'Parque El Regalo, Bogotá', 'Parque Brasil II Sector', 'Parque Metropolitano El Porvenir Gibraltar', 'Parque urbanización ciudadela el Porvenir. Etapa III', 'Parque Caldas']","['Bosa', 'Bogotá']",[]
