link,price,bedrooms,bathrooms,area,agency,coordinates,facilities,upload_date,stratum,parking_lots,floor,construction_age_min,construction_age_max,places,location,transportation,description
https://www.fincaraiz.com.co/apartamento-en-arriendo/192405910,3000000,1,1,42,Houm,"(4.6191593989004005, -74.06516790390015)","['Servicios Públicos', 'Parques cercanos', 'Cochera', 'Supermercados / C.Comerciales', 'Sensor de movimiento', 'Cocina Integral', 'Ascensor', 'Zona de BBQ', 'Trans. Público cercano', 'Amoblado', 'Acceso Pavimentado', 'Alcantarillado']",2025-05-18,3,1,-1,1,8,"['San Martín Centro Comercial', 'Parque Nacional', 'Hotel Ibis Bogotá Museo', 'Parque Nacional Enrique Olaya Herrera', 'Transmilenio Calle 34', 'Parque Central Bavaria', 'La Monferrina', 'Plaza 39 Centro Comercial', 'Buffet King Bogotá San Martin', 'Éxito San Martín', 'Parque de la Independencia - Bicentenario', 'Restaurante Temático La Juguetería - Macarena', 'La Trocha, La Casa de la Paz', 'Wok Museo Nacional', 'Santa Fe Restaurante Bogotá', 'Longo´s Macarena', 'Museo Nacional', ""McDonald's"", 'Crepes & Waffles Centro Comercial Plaza 39', 'Crepes & Waffles Centro Internacional']","['Bogotá', 'Chapinero', 'Santa Fé']","['Transmilenio Calle 34', 'Museo Nacional']","Este apartamento moderno y minimalista presenta una distribución abierta que integra la sala, cocina y comedor, separando la habitación con paneles de vidrio. Sus acabados son de buena calidad y se destacan las paredes blancas y un muro de ladrillo en la cocina. La iluminación natural es abundante gracias a amplias ventanas, ofreciendo vista urbana con áreas verdes al fondo. El estado general es bueno, con pisos de concreto pulido y decoración sencilla. El baño cuenta con revestimientos en colores neutros. Las áreas comunes, incluyendo un gimnasio, están bien mantenidas y rodeadas de áreas verdes, creando un entorno urbano agradable."
https://www.fincaraiz.com.co/apartamento-en-arriendo/192405841,3320000,3,2,61,RV Inmobiliaria,"(4.656523208947739, -74.12344694137573)","['Balcón', 'Vigilancia', 'Zona Residencial', 'Citófono', 'Cerca centro comercial', 'Ascensor', 'Trans. Público cercano', 'Salón Comunal', 'Gimnasio', 'Alarma', 'Calentador']",2025-05-18,4,1,-1,1,8,"['Terminal de Transporte S.A.', 'Hornitos La Felicidad', 'Terminal de Transportes de Bogota', 'Éxito La Felicidad', 'Industrias Vanyplas Ltda.', 'Éxito Esperanza', 'Parque Bosque de Hayuelos', 'Primitivos, Restaurante, Juegos, Bar', 'Parque Carlos Lleras', 'Kr 80ABIS - Cl 22D', 'C.C. Los Tres Elefantes', 'Dos Banderas', 'Primer sitio', 'OXXO Modelia Occidental', 'CL 22C - KR 68F Terminal de Transporte Salitre', 'MISHI MISHI', 'MISHIKGA', 'Juan González Cocina y Bar', 'Crepes & Waffles Centro Comercial Multiplaza', ""Domino's Pizza Hayuelos""]","['Bogotá', 'Fontibón', 'Cundinamarca']","['Terminal de Transportes de Bogota', 'Kr 80ABIS - Cl 22D', 'C.C. Los Tres Elefantes', 'CL 22C - KR 68F Terminal de Transporte Salitre']","El apartamento tiene un estilo moderno con acabados contemporáneos y suelos de madera laminada. La iluminación natural es abundante gracias a grandes ventanales en la sala. Presenta una distribución abierta en las áreas comunes, mientras que las habitaciones son espacios cerrados. Las vistas incluyen estructuras urbanas y un entorno natural a lo lejos. Su estado general es bueno, con paredes y techos bien mantenidos. La cocina ofrece materiales funcionales en un diseño sobrio, y el baño tiene azulejos de gran formato. Cuenta con un pequeño balcón que ofrece vista despejada y un espacio de estacionamiento subterráneo en buen estado."
https://www.fincaraiz.com.co/apartamento-en-arriendo/192406103,1550000,2,1,45,Carlos,"(4.778759707688192, -74.04969692230225)","['Cocina tipo Americano', 'Circuito cerrado de TV', 'Supermercados / C.Comerciales', 'Portería / Recepción', 'Cocina Integral', 'Ascensor', 'Barra estilo americano', 'Trans. Público cercano', 'Salón Comunal', 'Planta Eléctrica', 'Piso en Baldosa / Mármol', 'Calentador']",2025-05-18,3,0,11,0,1,"['La Múnich', 'Asaderos El Llanerazo Del Norte', 'Auto Norte - CL 194', 'Parque de Los Novios Club Campestre El Rancho', 'Asadero El Chiguiro', 'Auto Norte - CL 197', 'Auto Norte - CL 194', 'Asadero El Guayatuno', 'jardines de paz', 'Auto Norte - CL 198', 'OSSO', 'Super Pavo El Original', 'Restaurante Universitario', 'Auto Norte - CL 198', 'Burger Store', 'Asadero Guayatuno Kr 45 Cl 196b', 'La Gran Parrilla', 'LA BARRA', 'Flores El Paraiso', 'Autopista Norte']","['Usaquén', 'Suba', 'Bogotá', 'Cundinamarca', 'La Caro']","['Auto Norte - CL 194', 'Auto Norte - CL 197', 'Auto Norte - CL 194', 'Auto Norte - CL 198', 'Auto Norte - CL 198']","El apartamento, en estado general bien cuidado, presenta un estilo moderno con acabados sencillos. Los espacios tienen iluminación natural limitada debido a pequeñas ventanas y una distribución abierta conecta la cocina con el área común. Las paredes y techos están en buen estado. No ofrece vistas exteriores claras, sugiriendo un entorno cerrado. Los materiales de la cocina son de cerámica, y el baño, aunque reducido, es moderno con detalles elegantes. Elementos como iluminación LED y espejos decorativos aportan un toque contemporáneo al espacio."
https://www.fincaraiz.com.co/apartamento-en-arriendo/192405978,1700000,3,2,60,Fanny ConsueloHernandez,"(4.630345222945569, -74.1381025314331)","['Garaje(s)', 'Zona Infantil', 'Portería / Recepción', 'Sobre vía principal', 'Vigilancia', 'Zona Residencial', 'Trans. Público cercano']",2025-05-18,4,1,4,31,100,"['Banderas', 'Estación Marsella', 'Metro Banderas', 'Techo Kennedy', 'Polideportivo Castilla', 'CATRINA TAQUERÍA', 'Los Tres Elefantes', 'Estación Banderas', 'Av Américas -Av. Boyacá', ""Domino's Pizza Castilla"", 'Plazuelas de San Esteban', ""Domino's Pizza Mundo Aventura"", 'La Poche Pescadería', 'La barca del sabor - Sede Kennedy Mandalay', 'Mi Leña (Leños & Palos) - Castilla', 'XL Gourmet - Castilla', 'Parrilla Gourmet Restaurant', 'Parque El Triangulo', 'Mandalay']","['Kennedy', 'Bogotá', 'Cundinamarca', 'Avenida de las Américas', 'Cl. 6a', 'Cl. 8b Bis', 'Cl. 7c Bis', 'Cl. 5c', 'Tv. 78b']","['Banderas', 'Estación Marsella', 'Estación Banderas', 'Av Américas -Av. Boyacá', 'Mandalay']","Este apartamento en un edificio de diseño moderno presenta acabados sencillos y utilitarios, con cocina de madera laminada y pisos de cerámica. La iluminación natural es limitada, con ventanas de tamaño moderado que ofrecen vistas cerradas al entorno urbano inmediato. La distribución del espacio es abierta en las áreas sociales, mientras que las habitaciones y baño son independientes, reflejando un diseño tradicional de compartimentos. Se encuentra en buen estado, con paredes y techos en buen estado de conservación. El entorno exterior es densamente construido, sin acceso inmediato a áreas verdes."
https://www.fincaraiz.com.co/apartamento-en-arriendo/192405624,5130806,1,2,60,Engel & Völkers,"(4.6769473501863805, -74.05478239059448)","['Chimenea', 'Ascensor', 'Zona de BBQ', 'Caldera', 'Alarma']",2025-05-18,6,2,1,9,15,"['Parque de la 93', 'Carulla Country', 'Parque El Virrey', 'Casa Dann Carlton Hotel & Spa', 'Cumbia House de Gaira', 'Osaka Bogotá', 'Astoria Rooftop | The Best Rooftop in Colombia', 'Crepes & Waffles Parque 93', 'Cantina La 15 Bogotá - Bar y Restaurante Mexicano', 'Crepes & Waffles La Noventa', ""Piazza by Storia D'Amore Calle 93 Bogotá"", 'Estación Virrey', ""McDonald's"", 'Les Amis Bizcocheria', 'Godo Facts Food', 'Al Agua Patos', 'Cacio & Pepe', 'The Click Clack Hotel Bogotá', 'Vista Corona Bogotá', 'Le Grand Chico 92 Bogotá']","['Bogotá', 'Chapinero', 'Cundinamarca', 'Barrios Unidos']",['Estación Virrey'],"Este apartamento de estilo moderno presenta acabados lujosos y una distribución abierta que integra la sala con la cocina mediante una barra. Dispone de iluminación abundante gracias a grandes ventanales que ofrecen vista urbana. Las habitaciones también cuentan con buena entrada de luz y vistas cerradas hacia edificaciones aledañas. El estado general es excelente, con pisos, paredes y techos en buen estado. Los materiales incluyen madera en los pisos y elegantes detalles en porcelana y vidrio en el baño. La terraza, con diseño moderno y áreas verdes, complementa un entorno exterior bien cuidado."
https://www.fincaraiz.com.co/apartamento-en-arriendo/192405786,965000,3,1,47,RV Inmobiliaria,"(4.624420821888976, -74.20773267745972)","['Vigilancia', 'Sobre vía principal', 'Zona Residencial', 'Cerca centro comercial', 'Zona Comercial', 'Trans. Público cercano', 'Salón Comunal', 'Calentador']",2025-05-18,2,0,-1,1,8,"['Surtimax El Recreo Bosa', 'Parque San José de Maryland', 'CL 73 Sur - KR 93 D', 'Metropol - Bosa Recreo', 'El Patriarca Restaurante', 'Supermerk2 Maxi Ahorro', 'Parque Zonal Campo Verde (07-436)', 'MERCADOS DISTRI ALKOSTO', 'Los Cerezos del Recreo Etapa 2', 'SUPERMERCADOS AUTOSERVICIOS MERKCENTROS PARQUES DE BOGOTA', 'Comidas Rápidas El Parchesito Express', 'sabor natural', 'Recreo cundinamarca bosa', 'SUPERMERCADO AUTOSERVICIO MERCACENTRO', 'KR 95A - CL 74 Sur', 'metro', 'Parque Público El Portal del Sol', 'KR 95A - CL 74 Sur Metrovivienda', 'KR 95A - CL 76 Sur', 'El GRAN EXITO CHINO']","['Bosa', 'Bogotá', 'Cundinamarca', 'Colombia']","['CL 73 Sur - KR 93 D', 'KR 95A - CL 74 Sur', 'KR 95A - CL 74 Sur Metrovivienda', 'KR 95A - CL 76 Sur']","Este apartamento presenta un estilo moderno con acabados básicos, incluyendo azulejos blancos y negros y mobiliario de madera laminada. La iluminación natural es limitada, con ventanas medianas que permiten algo de luz en habitaciones, pero no en la cocina. Su distribución es compartimentada y eficiente, con un pasillo que conecta las habitaciones y un área de cocina estrecha e independiente. Las vistas exteriores son urbanas, con edificios cercanos en un entorno densamente construido. El estado general es bien cuidado, con paredes y techos en buen estado y una decoración centrada en la funcionalidad."
https://www.fincaraiz.com.co/apartamento-en-arriendo/192405846,1438000,3,2,36,RV Inmobiliaria,"(4.6878970111815645, -74.15269374847412)","['Vigilancia', 'Zona Residencial', 'Ascensor', 'Trans. Público cercano', 'Salón Comunal', 'Gimnasio', 'Calentador']",2025-05-18,3,0,-1,1,8,"['Metro Fontibón', 'Metro Fontibón', 'Parque Atahualpa', 'Piqueteadero Guadalajara', 'Asadero La Gran Llanera Internacional', 'Parque Público Zonal Atahualpa', 'Merqueo Fontibón', 'HIPERMERCADOS EDEN SAS', 'Parque la aldea', 'La Llanerita', 'D1 Mercado', 'Ara Villa Carmenza', 'Coarali', 'PARQUE BATAVIA', 'Supermercado Ahorremas | Aliado Red Contigo', 'Mercado Super Exito | Aliado Red Contigo', 'Alimentador La Estancia Parada 12 Transmilenio', 'Tienda D1 Atahualpa', 'Parque Barrio La Zelfita', 'Restaurante Yeng Sing']","['Fontibón', 'Bogotá']",['Alimentador La Estancia Parada 12 Transmilenio'],"El apartamento cuenta con un estilo arquitectónico moderno y acabados sencillos. Los baños tienen cerámica negra y azulejos de mármol blanco, con mobiliario funcional y minimalista. Dispone de buena iluminación natural gracias a las grandes ventanas que permiten la entrada de luz abundante. La distribución es compartimentada, con ambientes cerrados como el baño privado y los dormitorios. Ofrece vista urbana y se encuentra en buen estado de conservación, con paredes y techos bien mantenidos. Los pisos de madera oscuros complementan el diseño moderno sin elementos decorativos prominentes."
https://www.fincaraiz.com.co/apartamento-en-arriendo/192405629,8200000,1,2,145,Engel & Völkers,"(4.656480435253913, -74.04716491699219)","['Amoblado', 'Chimenea']",2025-05-18,6,2,4,31,100,"['Quebrada La Vieja', 'Harry Sasson', 'Masa 81 | restaurante', 'Carulla Rosales', 'Al Agua Patos', 'Artesano Rosales by Crepes & Waffles', 'Hotel Rosales Plaza Bogotá', 'Ideal Restaurante', 'La Macheleria Steakhouse Zona G', 'Ramen Bar Tomodachi', 'Restaurante Verano', 'El Bandido Bistro', 'Osaki Artisan', 'Brot 81', 'Artesano 81 by Crepes & Waffles', 'LA BIFERIA CALLE 79', 'Bagatelle', 'Ugly American Bar & Grill', 'The Market Bogotá', 'Restaurante Armadillo']","['Bogotá', 'Chapinero', 'Cundinamarca']",[],"El apartamento destaca por su estilo arquitectónico moderno y acabados lujosos, incluyendo mármol en la cocina y pisos de parquet. Cuenta con iluminación abundante gracias a amplias ventanas que ofrecen vistas hacia un entorno urbano con algo de verdor. Su distribución es abierta, integrando sala, comedor y cocina, mientras que las habitaciones, aunque compartimentadas, mantienen un diseño contemporáneo. Los baños son funcionales con acabados en cerámica. El estado general del apartamento es nuevo, evidenciando un alto nivel de conservación en paredes, pisos y techos. Elementos decorativos añaden un toque personal al espacio."
https://www.fincaraiz.com.co/apartamento-en-arriendo/192405856,3306606,2,2,73,Gestiones Inmobiliarias F. T. SAS,"(4.6471984822145345, -74.0786862373352)","['Closet', 'Zona Residencial', 'Chimenea', 'Cerca centro comercial', 'Cocina Integral', 'Trans. Público cercano', 'Calentador', 'Área Urbana']",2025-05-18,5,1,3,16,30,"['Parque de los Novios', 'Carulla Galerias', 'Carulla Pablo VI', 'Super Bowling Bogotá', 'Hornitos Belalcázar', ""McDonald's"", 'Chronos Fantasy Restaurante', 'Meraki Sushi & Wok Cocina Oriental', 'Movistar Arena', 'CHO´s Korean Fast Food (Galerias)', 'Crepes & Waffles Centro Comercial Galerias', 'Hotel El Campin', ""Dunkin' Calle 63"", 'Frisby Galerias', 'Carnícolas', 'Desayunadero El Cañón del Chicamocha', 'Tienda Ara Galerias', 'El Corral Galerias', 'Parque Movistar Arena', 'KFC Galerías']","['Bogotá', 'Teusaquillo', 'Cundinamarca']",['Movistar Arena'],"El apartamento cuenta con un estilo moderno básico y acabados sencillos, destacando mobiliario funcional. La cocina tiene materiales de madera y la iluminación natural es moderada, gracias a ventanas de tamaño medio que ofrecen vista urbana y densa. La distribución es abierta en la sala de estar, integrando áreas de descanso y entretenimiento, mientras que la cocina, baños y dormitorios están compartimentados. Los baños presentan acabados en cerámica blanca. El estado general es bien cuidado, aunque hay signos de uso diario, particularmente en la cocina. Las paredes y techos están en buen estado, lo que contribuye a un ambiente práctico y acogedor."
https://www.fincaraiz.com.co/apartamento-en-arriendo/192405787,915000,2,1,44,RV Inmobiliaria,"(4.635478237899357, -74.1876482963562)","['Canchas Deportivas', 'Vista panorámica', 'Vigilancia', 'Sobre vía principal', 'Zona Residencial', 'Cerca centro comercial', 'Zona Comercial', 'Trans. Público cercano', 'Salón Comunal']",2025-05-18,2,0,-1,1,8,"['Metro Bosa Atalayas', 'American Burger', 'Tiendas D1 Bosa Brasil', 'Metropol - Bosa Porvenir', 'Parque San Martín', 'Parque Metropolitano El Porvenir Manzana I', 'Santiago de las Atalayas', 'SurtiMayorista Trebolis', 'Tiendas Ara Bosa Porvenir', 'Supermercados Líder', 'Parque Holanda', 'Tiendas Ara Bosa Brasilia', 'Parque Público Miami', 'Asadero Piqueteadero El Aguila', 'Tiendas Ara Bosa Danubio', 'Parque El Regalo, Bogotá', 'Parque Brasil II Sector', 'Parque Metropolitano El Porvenir Gibraltar', 'Parque urbanización ciudadela el Porvenir. Etapa III', 'Parque Caldas']","['Bosa', 'Bogotá']",[],"Este apartamento en un entorno urbano cuenta con una distribución abierta que conecta la cocina con la sala, generando amplitud. Los acabados son sencillos y el estado general del inmueble es limpio y bien cuidado. La cocina tiene muebles de madera laminada y cerámica en el piso, con un diseño lineal. La iluminación natural es moderada y las ventanas ofrecen una vista cerrada hacia otros edificios. Las paredes y techos se encuentran en buen estado, con colores neutros y un patrón en relieve. El baño presenta acabados básicos y funcionales, manteniendo un adecuado nivel de conservación."
